한칸,l_type,name,학점,교강사,time
,교양,백범김구와단국대학교,2,박성순,"화11,12,13,14(사범309)"
,교양,법심리학의이해,3,민윤영,"목1,2,3,4,5,6(사범208)"
,교양,북유럽문화의이해(군온라인 강좌)(군온라인),3,박하나,"토1,2,3,4,5,6"
,교양,북유럽문화의이해,3,박하나,"수8,9,10,11,12,13(상경309)"
,교양,북한학의이해,3,이용광,"수13,14,15,16,17,18(사범208)"
,교양,불교문화론,3,박경식,"화9,10,11,12,13,14(인문101)"
,교양,브랜드와디자인이야기,2,송민정,"수11,12,13,14(상경201)"
,교양,빅데이터분석,3,김용태,"목10,11,12,13,14,15(상경202)"
,교양,사고와표현(문과대학),3,윤승준,"수2,3,4/금2,3,4(인문101)"
,교양,사고와표현(문과대학),3,김주언,"수2,3,4/금2,3,4(상경418)"
,교양,사고와표현(문과대학),3,박정규,"수2,3,4/금2,3,4(사범312)"
,교양,사고와표현(문과대학),3,김유미,"수2,3,4/금2,3,4(인문409)"
,교양,사고와표현(문과대학),3,김정녀,"수2,3,4/금2,3,4(사범307)"
,교양,사고와표현(법과대학),3,이태숙,"수2,3,4/금2,3,4(사범402)"
,교양,사고와표현(법과대학),3,임수경,"수2,3,4/금2,3,4(상경309)"
,교양,사고와표현(법과대학),3,유용태,"수2,3,4/금2,3,4(인문208)"
,교양,사고와표현(사회과학대학),3,송재용,"수5,6,7/금5,6,7(사범312)"
,교양,사고와표현(사회과학대학),3,김주언,"수5,6,7/금5,6,7(사범402)"
,교양,사고와표현(사회과학대학),3,박상진,"수5,6,7/금5,6,7(상경309)"
,교양,사고와표현(사회과학대학),3,박정규,"수5,6,7/금5,6,7(인문409)"
,교양,사고와표현(사회과학대학),3,김정녀,"수5,6,7/금5,6,7(사범307)"
,교양,사고와표현(사회과학대학),3,김유미,"수5,6,7/금5,6,7(인문208)"
,교양,사고와표현(사회과학대학),3,이태숙,"수5,6,7/금5,6,7(상경201)"
,교양,사고와표현(사회과학대학),3,맹영일,"수5,6,7/금5,6,7(사범501)"
,교양,사고와표현(상경대학),3,유용태,"화5,6,7/목5,6,7(인문208)"
,교양,사고와표현(상경대학),3,이태숙,"화5,6,7/목5,6,7(상경418)"
,교양,사고와표현(상경대학),3,임수경,"화5,6,7/목5,6,7(사범312)"
,교양,사고와표현(상경대학),3,허재영,"화5,6,7/목5,6,7(사범402)"
,교양,사고와표현(상경대학),3,맹영일,"화5,6,7/목5,6,7(상경309)"
,교양,사고와표현(상경대학),3,박상진,"화8,9,10/목8,9,10(인문421)"
,교양,사고와표현(상경대학),3,김유미,"화8,9,10/목8,9,10(상경418)"
,교양,사고와표현(상경대학),3,김정녀,"화8,9,10/목8,9,10(사범312)"
,교양,사고와표현(상경대학),3,박정규,"화8,9,10/목8,9,10(사범402)"
