한칸,l_type,교과목명,학점,교강사,요일/시간/(강의실)
,교양,"글로벌핵심영어3([경영학과(야간) 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,데이비드와쉬번,"월19,20(사회305)"
,교양,기업가정신과창업(사이버),2,백동헌,"수19,20(인115-01)"
,교양,기업실무전문가과정,2,김지묵,"목14,15,16,17(산학112)"
,교양,기초생물학,3,모상준,"목9,10,11,12,13,14(사회310)"
,교양,기초통계와SPSS통계프로그램,3,이민영,"목12,13,14,15,16,17(1과309)"
,교양,기획력과프리젠테이션,2,김종규,"목3,4,5,6(학생405)"
,교양,기획력과프리젠테이션,2,김종규,"목9,10,11,12(학생405)"
,교양,기획제작및시연((화상)),2,,"금2,3,4,5(인324[(화상)강의])"
,교양,기획제작및시현((화상)),2,,"금6,7,8,9(인324[(화상)강의])"
,교양,노화의이해,3,신득용,"화7,8,9,10,11,12(인530)"
,교양,뇌와뇌질환의이해,2,김희정,"수4,5,6,7(약학114-01)"
,교양,뇌와마음의행동,3,윤보은,"목13,14,15,16,17,18(1과004-01)"
,교양,뉴스속의과학,2,이정호,"금8,9,10,11(산학114)"
,교양,대중문화속과학콘서트,3,윤지현,"목13,14,15,16,17,18(인527)"
,교양,도덕적삶과이상,3,이상훈,"월2,3,4,5,6,7(인421)"
,교양,도자이야기와인성,2,박종환,"목14,15,16,17(사회012)"
,교양,도자이야기와인성,2,박종환,"목19,20(사회012)"
,교양,독일어초급,3,최경인,"목11,12,13,14,15,16(사회409)"
,교양,동아시아에대한생태학적이해,3,김홍겸,"월10,11,12,13,14,15(인214)"
,교양,동아시아역사의이해,3,김영제,"월10,11,12,13,14,15(인007-01)"
,교양,동아시아전쟁의역사,3,김영제,"목8,9,10,11,12,13(인007-01)"
,교양,동양철학의현대적이해,3,황종원,"화13,14,15,16,17,18(인000-08)"
,교양,동영상으로보는경영,2,장윤희,"월13,14,15,16(사회402)"
,교양,라인댄스,2,최은용,"화19,20(예술관D동302)"
,교양,라인댄스,2,최은용,"월10,11,12,13(예술관D동302)"
,교양,러시아문화의이해,3,조규연,"목2,3,4,5,6,7(인424)"
,교양,러시아어초급,3,남서영,"수12,13,14,15,16,17(인523-01)"
,교양,레크레이션댄스,2,최은용,"월14,15,16,17(예술관D동302)"
